Cognitive,Motivation,Social,Resilience,Environment,IMP_Geometric,IMP_Additive,Differenz
5.0,2.9011346188733604,3.7877369965181007,3.106306355749864,1.3983136551773137,2.989188598979772,3.238698325263728,-0.24950972628395585
3.2691175245134803,4.042644196240739,3.352990712243708,5.0,4.6694150688878295,4.00822578673552,4.066833500377152,-0.05860771364163231
2.07187335902662,4.662552303683577,2.6952482110225997,1.423986726939547,2.8522211743789514,2.540124281634757,2.7411763550102584,-0.20105207337550146
3.4790455531641054,2.699081964293239,2.379613365305688,4.706056621887395,2.8063938574141134,3.1188728616147534,3.214038272412908,-0.09516541079815477
3.9887423760291183,2.5516819877477994,2.0034235170762575,5.0,2.899748394453251,3.119989444270199,3.2887192550612854,-0.16872981079108618
4.222907841317006,3.856658009163023,2.602160310642967,3.0719780373080643,5.0,3.6534988793043177,3.7507408396862116,-0.09724196038189392
3.960003185136488,3.809394608626823,3.3646048487609086,4.19007023584131,2.3949988445985344,3.4785835199286637,3.543814344592813,-0.06523082466414953
4.019094607482832,3.5760112079804744,2.7224081126325155,3.59015396404907,4.17111097500236,3.5774125801201357,3.61575577342945,-0.03834319330931413
2.559576501867251,3.1884713452400497,2.4775787033835566,4.1057228681728395,3.138142294056118,3.0420620703124306,3.0938983425439632,-0.05183627223153264
3.672983130605932,0.9972608331205328,3.358384804848932,5.0,4.302952979290974,3.0516797191743694,3.466316349573274,-0.4146366303989044
5.0,2.7030800735044327,3.250097421366693,2.6873068134355633,4.3807891749622785,3.4891446963588444,3.6042546966537934,-0.115110000294949
5.0,2.4974873835726905,4.361220906709828,4.69636833695192,3.8362818831140317,3.9659826592451712,4.078271702069694,-0.11228904282452268
4.314717391658399,4.674178897004864,3.9111392109285767,4.094593375052808,4.723942157345021,4.332067970272203,4.343714206397934,-0.011646236125730347
4.989583104453079,3.5747240696934233,2.93302096613926,4.230332579303648,4.265850716827009,3.935504592656869,3.998702287283284,-0.06319769462641522
2.359282342805405,3.442095460961497,3.8367944561295317,2.83082464676803,3.392333153981161,3.127494577515677,3.1722660121291253,-0.044771434613448235
1.2394321273205544,3.1419674153219117,2.8894639828274036,4.008424696106761,4.063298758274558,2.8354294068505363,3.0685173959702383,-0.23308798911970197
